timestamp,key,count
2025-05-28T21:51:50.730387,outside,3
2025-05-28T21:51:50.730402,total,7
2025-05-28T21:52:33.382166,inside,5
2025-05-28T21:52:33.382178,total,8
2025-05-28T21:52:52.097399,outside,4
2025-05-28T21:52:52.097414,total,9
2025-05-28T21:52:57.977702,inside,6
2025-05-28T21:52:57.977717,total,10
2025-05-28T21:53:35.331105,inside,7
2025-05-28T21:53:35.331120,total,11
2025-05-28T21:53:36.064868,outside,5
2025-05-28T21:53:36.064885,total,12
2025-05-28T21:54:32.543706,inside,8
2025-05-28T21:54:32.543720,total,13
2025-05-28T21:54:33.134148,outside,6
2025-05-28T21:54:33.134162,total,14
2025-05-28T21:54:34.714007,inside,9
2025-05-28T21:54:34.714017,total,15
2025-05-28T21:54:36.261048,outside,7
2025-05-28T21:54:36.261062,total,16
2025-05-28T21:54:37.515033,inside,10
2025-05-28T21:54:37.515046,total,17
2025-05-28T22:07:42.267132,outside,1
2025-05-28T22:07:42.267149,total,1
2025-05-28T22:07:51.925184,inside,1
2025-05-28T22:07:51.925199,total,2
2025-06-02T17:37:18.548219,outside,1
2025-06-02T17:37:18.548233,total,1
2025-06-02T17:37:18.832666,inside,1
2025-06-02T17:37:18.832683,total,2
2025-06-02T17:37:44.678927,inside,2
2025-06-02T17:37:44.678940,total,3
2025-06-02T17:39:14.648060,inside,3
2025-06-02T17:39:14.648074,total,4
2025-06-02T17:39:31.195719,inside,4
2025-06-02T17:39:31.195733,total,5
2025-06-02T18:06:09.785458,outside,1
2025-06-02T18:06:09.785473,total,1
2025-06-02T18:06:10.367463,inside,1
2025-06-02T18:06:10.367477,total,2
2025-06-02T18:06:10.941181,outside,2
2025-06-02T18:06:10.941194,total,3
2025-06-02T18:06:11.893128,inside,2
2025-06-02T18:06:11.893143,total,4
2025-06-02T18:06:12.458353,outside,3
2025-06-02T18:06:12.458367,total,5
2025-06-02T18:06:12.748207,inside,3
2025-06-02T18:06:12.748222,total,6
2025-06-02T18:06:13.876256,outside,4
2025-06-02T18:06:13.876270,total,7
2025-06-02T18:06:15.014409,inside,4
2025-06-02T18:06:15.014422,total,8
2025-06-02T18:06:15.306601,outside,5
2025-06-02T18:06:15.306614,total,9
2025-06-02T18:06:15.597449,inside,5
2025-06-02T18:06:15.597460,total,10
2025-06-02T18:06:15.880870,outside,6
2025-06-02T18:06:15.880883,total,11
2025-06-02T18:06:29.897743,outside,7
2025-06-02T18:06:29.897758,total,12
2025-06-02T18:20:15.151612,outside,1
2025-06-02T18:20:15.151627,total,1
2025-06-02T18:20:42.957226,inside,1
2025-06-02T18:20:42.957247,total,2
2025-06-02T18:23:20.238138,inside,1
2025-06-02T18:23:20.238153,total,1
2025-06-02T18:23:33.046331,outside,1
2025-06-02T18:23:33.046346,total,2
2025-06-02T18:23:36.445363,inside,2
2025-06-02T18:23:36.445376,total,3
2025-06-02T18:23:39.715099,outside,2
2025-06-02T18:23:39.715110,total,4
2025-06-02T18:23:41.051352,inside,3
2025-06-02T18:23:41.051363,total,5
2025-06-02T18:23:41.279570,outside,3
2025-06-02T18:23:41.279584,total,6
2025-06-02T18:23:42.173701,inside,4
2025-06-02T18:23:42.173715,total,7
2025-06-02T18:23:42.412563,outside,4
2025-06-02T18:23:42.412580,total,8
2025-06-02T18:23:48.376738,inside,5
2025-06-02T18:23:48.376753,total,9
2025-06-02T18:23:48.783362,outside,5
2025-06-02T18:23:48.783371,total,10
2025-06-02T18:23:49.017635,inside,6
2025-06-02T18:23:49.017645,total,11
2025-06-02T18:23:49.479237,outside,6
2025-06-02T18:23:49.479248,total,12
2025-06-02T18:24:13.553001,inside,7
2025-06-02T18:24:13.553013,total,13
2025-06-02T18:24:13.553266,outside,7
2025-06-02T18:24:13.553272,total,14
2025-06-02T19:09:51.608300,inside,1
2025-06-02T19:09:51.608315,total,1
2025-06-02T19:09:52.039215,outside,1
2025-06-02T19:09:52.039230,total,2
2025-06-02T19:11:45.468930,outside,1
2025-06-02T19:11:45.468943,total,1
2025-06-02T19:11:45.687328,inside,1
2025-06-02T19:11:45.687341,total,2
2025-06-02T19:11:45.904214,outside,2
2025-06-02T19:11:45.904228,total,3
2025-06-02T19:11:46.122217,inside,2
2025-06-02T19:11:46.122229,total,4
2025-06-02T19:13:46.824046,outside,1
2025-06-02T19:13:46.824059,total,1
2025-06-02T19:13:48.600607,inside,1
2025-06-02T19:13:48.600621,total,2
2025-06-02T19:13:49.382981,outside,2
2025-06-02T19:13:49.382995,total,3
2025-06-02T19:13:49.585758,inside,2
2025-06-02T19:13:49.585770,total,4
2025-06-02T19:13:50.387872,outside,3
2025-06-02T19:13:50.387885,total,5
2025-06-02T19:14:51.160885,inside,1
2025-06-02T19:14:51.160899,total,1
2025-06-02T19:17:14.451162,outside,1
2025-06-02T19:17:14.451179,total,1
2025-06-02T22:54:40.963502,inside,1
2025-06-02T22:54:40.963516,total,1
2025-06-02T22:54:41.164445,outside,1
2025-06-02T22:54:41.164457,total,2
2025-06-02T22:54:41.764074,inside,2
2025-06-02T22:54:41.764087,total,3
2025-06-02T22:54:42.533694,outside,2
2025-06-02T22:54:42.533707,total,4
2025-06-02T22:54:44.732276,inside,3
2025-06-02T22:54:44.732288,total,5
2025-06-02T22:54:45.378810,outside,3
2025-06-02T22:54:45.378822,total,6
2025-06-02T22:54:48.414453,inside,4
2025-06-02T22:54:48.414466,total,7
2025-06-02T22:55:12.539884,outside,4
2025-06-02T22:55:12.539896,total,8
2025-06-03T01:43:48.595323,inside,1
2025-06-03T01:43:48.595337,total,1
2025-06-03T01:43:57.247091,outside,1
2025-06-03T01:43:57.247106,total,2
2025-06-03T01:45:09.296086,inside,1
2025-06-03T01:45:09.296104,total,1
2025-06-03T01:45:20.211834,outside,1
2025-06-03T01:45:20.211852,total,2
2025-06-03T02:02:52.612150,inside,1
2025-06-03T02:02:52.612165,total,1
2025-06-03T02:02:56.668764,outside,1
2025-06-03T02:02:56.668780,total,2
2025-06-03T02:03:31.525835,inside,2
2025-06-03T02:03:31.525848,total,3
2025-06-03T02:03:32.526291,outside,2
2025-06-03T02:03:32.526304,total,4
2025-06-03T22:11:43.129143,inside,1
2025-06-03T22:11:43.129160,total,1
2025-06-03T22:11:43.809463,outside,1
2025-06-03T22:11:43.809481,total,2
2025-06-03T22:11:44.024383,outside,2
2025-06-03T22:11:44.024401,total,3
2025-06-03T22:11:50.385358,outside,3
2025-06-03T22:11:50.385374,total,4
2025-06-03T22:11:52.350974,inside,2
2025-06-03T22:11:52.350988,total,5
2025-06-03T22:11:53.215640,outside,4
2025-06-03T22:11:53.215656,total,6
2025-06-03T22:12:03.135492,outside,5
2025-06-03T22:12:03.135509,total,7
2025-06-03T22:12:05.169470,inside,3
2025-06-03T22:12:05.169484,total,8
2025-06-03T22:12:07.207504,inside,4
2025-06-03T22:12:07.207521,total,9
2025-06-03T22:12:09.456972,outside,6
2025-06-03T22:12:09.456992,total,10
2025-06-03T22:12:09.676965,inside,5
2025-06-03T22:12:09.676981,total,11
2025-06-03T22:12:14.193251,outside,7
2025-06-03T22:12:14.193264,total,12
2025-06-04T02:43:09.933588,inside,1
2025-06-04T02:43:09.933606,total,1
2025-06-04T02:43:10.349748,outside,1
2025-06-04T02:43:10.349798,total,2
2025-06-04T02:44:24.334943,outside,1
2025-06-04T02:44:24.334964,total,1
2025-06-04T02:45:37.951399,outside,1
2025-06-04T02:45:37.951443,total,1
2025-06-04T11:14:19.247207,inside,1
2025-06-04T11:14:19.247224,total,1
2025-06-04T11:14:19.988413,outside,1
2025-06-04T11:14:19.988429,total,2
2025-06-04T11:14:23.677662,inside,2
2025-06-04T11:14:23.677674,total,3
2025-06-04T11:14:24.422298,outside,2
2025-06-04T11:14:24.422314,total,4
2025-06-04T11:14:34.262471,inside,3
2025-06-04T11:14:34.262486,total,5
2025-06-04T11:14:35.017402,outside,3
2025-06-04T11:14:35.017418,total,6
2025-06-04T15:08:13.426757,inside,1
2025-06-04T15:08:13.426776,total,1
2025-06-09T14:50:59.567708,outside,1
2025-06-09T14:50:59.567729,total,1
2025-06-09T16:21:42.375350,outside,1
2025-06-09T16:21:42.375368,total,1
2025-06-09T16:41:26.268639,outside,1
2025-06-09T16:41:26.268668,total,1
2025-06-09T16:41:26.488921,inside,1
2025-06-09T16:41:26.488940,total,2
2025-06-09T16:41:31.144358,outside,2
2025-06-09T16:41:31.144373,total,3
2025-06-09T16:41:31.257704,inside,2
2025-06-09T16:41:31.257737,total,4
2025-06-09T16:41:31.831022,outside,3
2025-06-09T16:41:31.831038,total,5
2025-06-09T16:41:31.947201,inside,3
2025-06-09T16:41:31.947217,total,6
2025-06-09T16:41:33.145074,outside,4
2025-06-09T16:41:33.145093,total,7
2025-06-09T16:41:33.266619,inside,4
2025-06-09T16:41:33.266638,total,8
2025-06-09T16:41:36.131853,outside,5
2025-06-09T16:41:36.131872,total,9
2025-06-09T16:41:36.249182,inside,5
2025-06-09T16:41:36.249201,total,10
2025-06-09T16:41:50.681983,outside,6
2025-06-09T16:41:50.682004,total,11
2025-06-09T16:41:50.809122,inside,6
2025-06-09T16:41:50.809153,total,12
2025-06-09T16:50:18.738630,inside,1
2025-06-09T16:50:18.738664,total,1
2025-06-10T14:27:18.230857,outside,1
2025-06-10T14:27:18.230877,total,1
